fz,s0,s1,s2,s3,time
1.0204448699951172,4.486106056774525,5.163428023283642,0.751918571857375,0.38180450135651584,23.459885657
1.0208168029785156,4.484985199347125,5.161835208761934,0.7593540286246179,0.37885351735050526,23.469331351
1.0211143493652344,4.484088513405212,5.156716150418756,0.7653023940384064,0.3764927301457049,23.479782014
1.0195980072021484,4.487494309946462,5.152620903744217,0.770061086369443,0.380550015641411,23.489283448
1.0166301727294922,4.486095801884678,5.149344706404582,0.7738680402342666,0.3897417592975332,23.499807277
1.0142574310302734,4.484976995435262,5.139034135081264,0.7769136033261254,0.4030410694819935,23.50928023
1.0122051239013672,4.471712514391389,5.1230960645710235,0.7666681921002487,0.41962643288911905,23.519725708
1.0104122161865234,4.461100929556298,5.118035221614417,0.7648127939692291,0.43884063887437125,23.529179921
1.0089778900146484,4.464981097572554,5.113986547249143,0.7633284754644165,0.4542120036625812,23.539751341
1.0059890747070312,4.468085231985548,5.122282027934324,0.7621410206605662,0.46650909549314906,23.549286812
1.0017566680908203,4.470568539515947,5.128918412482476,0.7548501259677957,0.4763467689576035,23.559717197
0.9983730316162109,4.47255518554027,5.122693099943587,0.7490174102135907,0.4782709924696124,23.569190114
0.9956645965576172,4.474144502359721,5.110023236460871,0.7443512376102267,0.4798103712792087,23.579618425
0.9934978485107422,4.475415955815293,5.107576959126296,0.740618299527524,0.4810418743268966,23.589031434
0.9917640686035156,4.480556263874527,5.109464743984443,0.7503138107607255,0.48797299202459604,23.59978639
0.9903774261474609,4.484668510321907,5.110974971870965,0.7644111505969686,0.4994638014423102,23.609360545
0.9892673492431641,4.4879583074798175,5.116027960905977,0.7756890224659659,0.5086564489764922,23.619896707
0.9883804321289062,4.490590145206147,5.116225545408185,0.7847113199611726,0.5100646517442806,23.629351401
0.9875621795654297,4.492695615387206,5.112538806284146,0.7855882271076472,0.5052452986989541,23.639906711
0.9868011474609375,4.486133700942493,5.1018998015333255,0.7672669602757842,0.49544390100313296,23.649703919
0.9861907958984375,4.480884169386738,5.09338859773267,0.7526099468102997,0.48165686758691345,23.659278426
0.9839630126953125,4.484930834731679,5.094269248143749,0.7599071285869462,0.4765731561134924,23.669716571
0.9821815490722656,4.4881681670076246,5.1026633819242,0.772085804857948,0.47250618693475815,23.679212709
0.9824962615966797,4.490758032828385,5.109378688948565,0.7818287458747525,0.46925261159177084,23.689739371
0.9827461242675781,4.492829925485005,5.114750934568061,0.7896230986881929,0.46070383605782644,23.699291471
0.9830551147460938,4.502733730199846,5.126738344515264,0.7958585809389456,0.4538648156306682,23.709781819
0.9834098815917969,4.514779919266502,5.140173079198831,0.8008469667395475,0.448393599288947,23.719253142
0.9836940765380859,4.52441687051982,5.147076060219876,0.804837675380029,0.44401662621557003,23.729735231
0.9857330322265625,4.528003286227694,5.1487536383109225,0.8080302422924115,0.44051504775686584,23.739185073
0.9891757965087891,4.530872418794001,5.150095700783744,0.8105842958223289,0.43771378498990776,23.749760883
0.9919300079345703,4.5249214342574975,5.147324544036211,0.8126275386462514,0.43547277477633867,23.75930315
0.9941329956054688,4.524283791923063,5.14895242536399,0.8142621329053893,0.43962588186504065,23.76978372
0.9958953857421875,4.5278968233503,5.1502547304262025,0.8155698083127112,0.4429483675359968,23.779239525
0.9954032897949219,4.526664103197309,5.155141381201781,0.8166159486385686,0.4456063560727698,23.789769724
0.9950103759765625,4.525677927074908,5.162895508548041,0.8174528608992488,0.4477327469021829,23.799282695
0.9965972900390625,4.524888986176985,5.169098810425053,0.8181223907077959,0.44348794430615873,23.809897041
0.9978675842285156,4.528380978753437,5.170216645200865,0.8186580145546308,0.4400921022293313,23.819341217
0.9988822937011719,4.527051427519819,5.171110913021501,0.8190865136321014,0.43737542856787487,23.829790102
0.99969482421875,4.525987786532927,5.175671134003817,0.8194293128940693,0.44114800489826955,23.839260666
1.000345230102539,4.529260019038192,5.179319310789667,0.8197035523036494,0.44416606596257996,23.849782921
1.0008659362792969,4.531877805042388,5.182237852218351,0.8262638746809954,0.4465805148140255,23.859700239
1.00128173828125,4.529848888550968,5.184572685361304,0.8251712017331903,0.44256615863563287,23.869225876
1.0016136169433594,4.528225755357837,5.182595745149856,0.824297063374952,0.43935467369291337,23.879631077
1.0018424987792969,4.526927248803327,5.17716938625489,0.8172568218386794,0.43678548573874043,23.889235732
